var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,N/A,0.30121,3.62667,0.542914,1.14611,1.21327
int,1000000,40duplicates,N/A,0.442712,6.7888,0.955129,2.24451,2.56972
int,100000,40duplicates,N/A,0.0392295,0.679758,0.0654316,0.257005,0.303403
int,10000,40duplicates,N/A,0.00362669,0.0735683,0.00414361,0.0146746,0.0168306
int,50000,sorted,N/A,0.0146672,0.315855,0.00868297,0.0794606,0.077714
int,50000,20duplicates,N/A,0.0173748,0.267607,0.0283225,0.111178,0.110698
int,5000,noDuplicates,N/A,0.00153002,0.0258568,0.00189493,0.00694186,0.00755267
int,500000,sorted,N/A,0.136825,4.30519,0.152351,1.54167,1.63365
int,500000,60sorted,N/A,0.230401,4.57871,0.276793,1.53492,1.65421
int,10000,60sorted,N/A,0.00415986,0.0935415,0.00337023,0.0274384,0.0265811
int,1000000,noDuplicates,N/A,0.560986,8.74789,1.19913,2.77237,2.9331
int,1000000,20duplicates,N/A,0.581704,7.00496,1.026,2.43133,2.63821
int,50000,noDuplicates,N/A,0.0177939,0.271695,0.0295544,0.0902427,0.0998511
int,5000,60sorted,N/A,0.00137849,0.0265282,0.00122195,0.00740776,0.0069545
int,5000,sorted,N/A,0.000983509,0.0250414,0.000701951,0.00631889,0.00665307
int,100000,20duplicates,N/A,0.0387156,0.582005,0.0650087,0.192583,0.218605
int,50000,60sorted,N/A,0.0159998,0.275733,0.0159055,0.0828986,0.0851332
int,10000,noDuplicates,N/A,0.00335243,0.0515038,0.00428522,0.0141478,0.0167425
int,500000,20duplicates,N/A,0.210132,2.88577,0.423545,1.03686,1.18668
int,500000,40duplicates,N/A,0.220365,2.89901,0.410829,1.02409,1.10228
int,1000000,sorted,N/A,0.333093,6.09111,0.240088,2.12916,2.18864
int,5000,20duplicates,N/A,0.00151661,0.0252959,0.00184155,0.00682933,0.00751744
int,100000,noDuplicates,N/A,0.0379605,0.578015,0.069472,0.190875,0.200138
int,50000,40duplicates,N/A,0.0247686,0.298358,0.0288029,0.0930065,0.0937613
int,10000,20duplicates,N/A,0.00326063,0.0513311,0.00432958,0.0145819,0.0162271
int,100000,sorted,N/A,0.0257283,0.575164,0.0192203,0.183094,0.17819
int,100000,60sorted,N/A,0.033611,0.56192,0.0346358,0.194634,0.183126
int,10000,sorted,N/A,0.00222208,0.0499873,0.00152072,0.0139628,0.0137326
int,5000,40duplicates,N/A,0.00149526,0.026203,0.00200502,0.00788591,0.00819613
int,1000000,60sorted,N/A,0.387766,7.02814,0.491092,2.32222,2.22375
string,50000,sorted,N/A,0.123087,0.434879,0.103738,0.243233,0.223102
string,500000,20duplicates,N/A,1.60092,6.02127,4.18886,3.45556,4.09893
string,50000,20duplicates,N/A,0.123277,0.506101,0.256559,0.241843,0.330851
string,10000,40duplicates,N/A,0.0201291,0.089749,0.036132,0.0406592,0.0545875
string,10000,60sorted,N/A,0.0193821,0.0877896,0.0421084,0.0477015,0.0465414
string,100000,sorted,N/A,0.252029,0.905657,0.210573,0.501362,0.482995
string,5000,40duplicates,N/A,0.00897207,0.0437197,0.015212,0.0183791,0.0254703
string,500000,60sorted,N/A,1.53377,5.0513,3.43369,3.07254,3.24897
string,50000,noDuplicates,N/A,0.124431,0.484544,0.272132,0.243111,0.343396
string,500000,40duplicates,N/A,1.5795,5.55955,4.14653,3.13436,3.96167
string,5000,20duplicates,N/A,0.00976946,0.0438451,0.0153408,0.0213754,0.0252541
string,100000,noDuplicates,N/A,0.256617,1.04599,0.587345,0.531258,0.699049
string,5000,noDuplicates,N/A,0.0102577,0.044291,0.0160311,0.0217905,0.0261189
string,100000,60sorted,N/A,0.243795,0.954013,0.562841,0.516009,0.570796
string,1000000,20duplicates,N/A,3.40693,11.2803,9.22133,6.58479,8.30443
string,10000,noDuplicates,N/A,0.0200511,0.0901327,0.0369891,0.0456503,0.0538514
string,1000000,noDuplicates,N/A,3.22182,11.108,8.86908,6.72892,8.16918
string,1000000,sorted,N/A,3.26784,9.65074,2.47716,6.09068,5.71968
string,500000,noDuplicates,N/A,1.67801,5.39262,3.78399,3.10705,3.86332
string,100000,40duplicates,N/A,0.248575,1.04409,0.596861,0.533063,0.688812
string,5000,60sorted,N/A,0.00920143,0.0437956,0.0142903,0.018856,0.0225049
string,1000000,60sorted,N/A,3.05878,10.3277,7.64159,6.71124,6.87365
string,5000,sorted,N/A,0.00845043,0.0398501,0.00749478,0.0169136,0.0164104
string,100000,20duplicates,N/A,0.273786,1.02611,0.613555,0.552977,0.697771
string,10000,20duplicates,N/A,0.0193799,0.0890893,0.0358689,0.0398199,0.0538982
string,10000,sorted,N/A,0.0202689,0.0794682,0.0162112,0.0384497,0.0360117
string,500000,sorted,N/A,1.47295,4.77566,1.19715,2.84223,2.69438
string,50000,40duplicates,N/A,0.123819,0.493544,0.252183,0.244187,0.317514
string,50000,60sorted,N/A,0.117662,0.46111,0.235977,0.245207,0.264358
string,1000000,40duplicates,N/A,3.15019,11.1459,8.78667,6.57924,8.55024
