var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,N/A,0.315248,3.67689,0.361073,0.894105,1.00824
int,1000000,40duplicates,N/A,0.403448,6.82395,1.14848,2.19238,2.04061
int,100000,40duplicates,N/A,0.0331606,0.545456,0.0509238,0.139052,0.17717
int,10000,40duplicates,N/A,0.00308363,0.0454481,0.00354736,0.0116004,0.0119197
int,50000,sorted,N/A,0.0114063,0.275133,0.00730487,0.0702442,0.0593839
int,50000,20duplicates,N/A,0.0188828,0.223168,0.0229584,0.0840584,0.098421
int,5000,noDuplicates,N/A,0.00223724,0.0267531,0.0016312,0.00668585,0.00674402
int,500000,sorted,N/A,0.142808,2.4869,0.0754214,0.86712,1.07396
int,500000,60sorted,N/A,0.162738,3.29515,0.32879,1.05738,0.958848
int,10000,60sorted,N/A,0.00292742,0.0558187,0.00192432,0.0116676,0.0116478
int,1000000,noDuplicates,N/A,0.428765,6.90893,1.26623,2.36725,1.98465
int,1000000,20duplicates,N/A,0.443467,6.96912,0.868867,2.03145,2.439
int,50000,noDuplicates,N/A,0.0328086,0.357322,0.032446,0.10017,0.106765
int,5000,60sorted,N/A,0.00208145,0.0318729,0.00107069,0.00700896,0.00611344
int,5000,sorted,N/A,0.00139467,0.0224913,0.000468009,0.00568221,0.00512552
int,100000,20duplicates,N/A,0.0376642,0.534902,0.141176,0.196775,0.176537
int,50000,60sorted,N/A,0.0205049,0.374872,0.0166532,0.0913627,0.0755461
int,10000,noDuplicates,N/A,0.003462,0.0486223,0.00368484,0.0141771,0.0162492
int,500000,20duplicates,N/A,0.294264,3.86116,0.371858,0.957763,0.969473
int,500000,40duplicates,N/A,0.184177,2.66372,0.323092,0.884612,0.8749
int,1000000,sorted,N/A,0.283972,5.5016,0.179476,1.93655,1.73829
int,5000,20duplicates,N/A,0.00143424,0.0223596,0.00151622,0.00602716,0.0064269
int,100000,noDuplicates,N/A,0.034521,0.643435,0.0752515,0.229867,0.335588
int,50000,40duplicates,N/A,0.0245226,0.432116,0.0324675,0.0976848,0.109228
int,10000,20duplicates,N/A,0.00534066,0.0690816,0.00517758,0.0241754,0.0185837
int,100000,sorted,N/A,0.0452796,0.526647,0.0126279,0.133037,0.14893
int,100000,60sorted,N/A,0.0379745,0.604294,0.026568,0.153669,0.15131
int,10000,sorted,N/A,0.002301,0.0398674,0.000913127,0.0109963,0.0108089
int,5000,40duplicates,N/A,0.00164891,0.0235958,0.0015472,0.00597083,0.00622808
int,1000000,60sorted,N/A,0.427537,6.06384,0.3961,1.87594,2.2915
string,50000,sorted,N/A,0.145713,0.688058,0.135979,0.444292,0.212348
string,500000,20duplicates,N/A,1.35324,4.30331,4.30357,3.48612,3.39598
string,50000,20duplicates,N/A,0.114992,0.436426,0.247521,0.211786,0.225176
string,10000,40duplicates,N/A,0.0202287,0.0811647,0.0297601,0.0354461,0.0378162
string,10000,60sorted,N/A,0.0137511,0.0573941,0.0238595,0.0276673,0.0279056
string,100000,sorted,N/A,0.215776,0.67165,0.143487,0.376557,0.309955
string,5000,40duplicates,N/A,0.00739135,0.0331972,0.0116989,0.0157444,0.0184523
string,500000,60sorted,N/A,1.3062,3.47262,2.31832,2.24257,2.14416
string,50000,noDuplicates,N/A,0.109656,0.331012,0.17251,0.1871,0.203813
string,500000,40duplicates,N/A,1.10249,3.74365,2.73881,2.15011,2.39589
string,5000,20duplicates,N/A,0.00629306,0.0252687,0.00928663,0.0145725,0.0150495
string,100000,noDuplicates,N/A,0.183596,0.691405,0.384787,0.38715,0.432322
string,5000,noDuplicates,N/A,0.00801551,0.0320629,0.0114153,0.015629,0.0168782
string,100000,60sorted,N/A,0.197277,0.668823,0.361504,0.367798,0.366479
string,1000000,20duplicates,N/A,2.25637,7.47738,6.06734,4.4435,5.01688
string,10000,noDuplicates,N/A,0.0150033,0.0613857,0.024087,0.0322231,0.0324817
string,1000000,noDuplicates,N/A,2.25686,7.28433,5.69126,4.57823,5.13888
string,1000000,sorted,N/A,2.1792,6.30374,1.52007,4.2886,3.52333
string,500000,noDuplicates,N/A,1.07653,3.49892,2.42278,2.10996,2.35436
string,100000,40duplicates,N/A,0.188234,0.673906,0.381179,0.376277,0.422566
string,5000,60sorted,N/A,0.00739905,0.0298083,0.0100456,0.0148181,0.0132672
string,1000000,60sorted,N/A,2.18578,6.65525,4.91277,4.31762,4.1152
string,5000,sorted,N/A,0.0056313,0.0245721,0.00446753,0.0141213,0.00940707
string,100000,20duplicates,N/A,0.185842,0.636889,0.419826,0.384098,0.388859
string,10000,20duplicates,N/A,0.0143742,0.0610893,0.0240041,0.028111,0.0340088
string,10000,sorted,N/A,0.0143461,0.0554209,0.0107002,0.0272506,0.0227245
string,500000,sorted,N/A,1.09125,3.18411,0.793265,2.41411,1.84032
string,50000,40duplicates,N/A,0.16389,0.40949,0.313227,0.277124,0.373553
string,50000,60sorted,N/A,0.11025,0.335323,0.160404,0.192593,0.166733
string,1000000,40duplicates,N/A,2.56159,8.29761,5.72754,4.66056,5.08053
