var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,N/A,0.163119,2.044,0.249655,0.622531,0.684347
int,1000000,40duplicates,N/A,0.309123,4.02758,0.575715,1.47544,1.49091
int,100000,40duplicates,N/A,0.0284819,0.398777,0.0402164,0.111512,0.121677
int,10000,40duplicates,N/A,0.00256824,0.0347202,0.00252679,0.0092592,0.0100586
int,50000,sorted,N/A,0.0119012,0.180932,0.00491467,0.0502702,0.0493839
int,50000,20duplicates,N/A,0.0149023,0.189878,0.0169249,0.0538243,0.0562743
int,5000,noDuplicates,N/A,0.00137694,0.0193452,0.00111719,0.0047286,0.00455358
int,500000,sorted,N/A,0.105223,2.04459,0.0604362,0.654597,0.594632
int,500000,60sorted,N/A,0.132922,1.99392,0.127787,0.620765,0.62893
int,10000,60sorted,N/A,0.00227108,0.0355995,0.00135209,0.00958218,0.00915712
int,1000000,noDuplicates,N/A,0.346383,4.52017,0.58646,1.40551,1.52609
int,1000000,20duplicates,N/A,0.337521,4.26586,0.589331,1.42631,1.48712
int,50000,noDuplicates,N/A,0.0144111,0.205031,0.0183806,0.0602043,0.0703451
int,5000,60sorted,N/A,0.00127247,0.0221366,0.000772749,0.00536396,0.0057179
int,5000,sorted,N/A,0.00127496,0.0191041,0.000347991,0.00419751,0.00381418
int,100000,20duplicates,N/A,0.0302901,0.408791,0.0381657,0.122124,0.13126
int,50000,60sorted,N/A,0.0120291,0.193435,0.00962463,0.0534446,0.052167
int,10000,noDuplicates,N/A,0.00294144,0.0373266,0.00273207,0.0090381,0.00993439
int,500000,20duplicates,N/A,0.160594,2.07617,0.262177,0.688576,0.731281
int,500000,40duplicates,N/A,0.15999,2.11853,0.26551,0.672219,0.745524
int,1000000,sorted,N/A,0.217602,4.07442,0.127704,1.26321,1.25367
int,5000,20duplicates,N/A,0.0014346,0.0199234,0.00123265,0.00460063,0.00517563
int,100000,noDuplicates,N/A,0.0296678,0.405083,0.0385367,0.117702,0.124677
int,50000,40duplicates,N/A,0.0177439,0.196986,0.0192946,0.0564902,0.0580374
int,10000,20duplicates,N/A,0.00269317,0.0389382,0.00269053,0.0101644,0.010819
int,100000,sorted,N/A,0.0179921,0.404614,0.0113393,0.11849,0.113071
int,100000,60sorted,N/A,0.0246987,0.408043,0.0209703,0.119535,0.114999
int,10000,sorted,N/A,0.00234071,0.0366878,0.000774877,0.00924054,0.00885194
int,5000,40duplicates,N/A,0.00132507,0.0186269,0.0011895,0.00459657,0.00508247
int,1000000,60sorted,N/A,0.298962,4.22694,0.286935,1.35392,1.37602
string,50000,sorted,N/A,0.0824962,0.269801,0.0533877,0.156193,0.127777
string,500000,20duplicates,N/A,1.01595,3.33009,2.29673,2.10495,2.29102
string,50000,20duplicates,N/A,0.0808303,0.320985,0.154035,0.178744,0.184497
string,10000,40duplicates,N/A,0.014148,0.0571073,0.0229485,0.0287453,0.031206
string,10000,60sorted,N/A,0.0152346,0.05308,0.0204111,0.0306694,0.0258214
string,100000,sorted,N/A,0.16499,0.565565,0.126209,0.306041,0.281197
string,5000,40duplicates,N/A,0.00715901,0.0288678,0.0108169,0.0161048,0.0170716
string,500000,60sorted,N/A,0.979173,3.11509,2.0885,2.0244,1.87648
string,50000,noDuplicates,N/A,0.0852173,0.313349,0.157063,0.171305,0.190531
string,500000,40duplicates,N/A,1.10434,3.33402,2.51158,2.06044,2.27695
string,5000,20duplicates,N/A,0.00732701,0.0277267,0.00982283,0.0137376,0.013677
string,100000,noDuplicates,N/A,0.177436,0.625632,0.347116,0.3761,0.404987
string,5000,noDuplicates,N/A,0.00583275,0.028308,0.0102498,0.0128495,0.0153342
string,100000,60sorted,N/A,0.176009,0.5972,0.347674,0.353034,0.337075
string,1000000,20duplicates,N/A,2.17273,6.92622,5.63807,4.24939,4.84042
string,10000,noDuplicates,N/A,0.0140982,0.0606856,0.0224076,0.0311143,0.030519
string,1000000,noDuplicates,N/A,2.14248,6.9153,5.47573,4.35755,4.88015
string,1000000,sorted,N/A,1.98038,6.12811,1.51151,3.98404,3.4835
string,500000,noDuplicates,N/A,1.00782,3.38477,2.32997,2.07662,2.31346
string,100000,40duplicates,N/A,0.179884,0.654184,0.379005,0.371243,0.397528
string,5000,60sorted,N/A,0.00655066,0.0275832,0.00808588,0.0126132,0.0114255
string,1000000,60sorted,N/A,2.15932,6.45924,4.72327,4.27612,4.01166
string,5000,sorted,N/A,0.00631719,0.0276873,0.00475598,0.0135464,0.00992384
string,100000,20duplicates,N/A,0.168338,0.63953,0.371193,0.373247,0.390105
string,10000,20duplicates,N/A,0.0146469,0.0663131,0.0267811,0.0254359,0.0295617
string,10000,sorted,N/A,0.0128387,0.0562771,0.0112751,0.0269694,0.0236133
string,500000,sorted,N/A,0.99069,2.92697,0.697953,1.93084,1.59814
string,50000,40duplicates,N/A,0.0813786,0.33204,0.161443,0.163355,0.187665
string,50000,60sorted,N/A,0.0824949,0.283215,0.146549,0.182554,0.151971
string,1000000,40duplicates,N/A,2.23232,6.93974,5.43967,4.62699,4.87112
